,date,year exp,score,pros,cons,position
932,2021-03-23,Current Employee,5.0,Amazing work place with great work culture and team that's become a gang of friends,"There is nothing I could think of apart from Wfh, but that's life after covid I guess",Account Manager
933,2021-03-23,"Current Employee, more than 1 year",5.0,"Good Salary and bonuses, Good management",No cons for this company,Quality Assurance Analyst
934,2021-04-06,Current Employee,4.0,"1. Employee friendly policies, 2. Industry disruptor",No Cons in the company,Client Solutions Executive
935,2021-04-07,Former Employee,4.0,"Great culture, with some great set of people",Not came across any cons,Senior Sales Manager
936,2021-03-22,"Current Employee, less than 1 year",5.0,"-numerous benefits, -great salary package, -friendly and warm working environment",-cannot think of one at the moment,Content Labeler Operation Specialist
937,2021-03-21,Current Employee,5.0,"Well paid, equal opportunity, talented colleagues","Too much overwork, frequent change",Software Engineer
938,2021-03-14,"Current Employee, less than 1 year",5.0,"- Flat work culture, - Nice work environment, talented and supportive colleagues and team, - You can learn so much working here, - You have opportunities and ownership for big projects , - Great perks and swag, etc.","- Sometimes can be stressful due to the fast-paced environment, - Sometimes might work a bit overtime and things can get really busy",User Experience Designer
939,2021-04-03,Current Employee,4.0,just and favourable conditions of work,it is no obvious shortcomings,Frontend Developer
940,2021-04-02,"Former Employee, more than 1 year",4.0,"Awesome culture, great team, handsome pay, Best bosses",The brand got banned in India,Strategist
941,2021-04-02,"Current Employee, more than 1 year",4.0,"Good pay, Great work culture, Great Learning opportunity, Good Bonus, Free meals, Lots of gifts",No cons as such. It was amazing working here,Client Solutions Manager
942,2021-03-18,Current Employee,5.0,Career Opportunities Career Opportunities Career Opportunities,No problems and very good.,Software Engineer
943,2021-03-17,"Current Employee, less than 1 year",5.0,"Good salary and benefits, gifts keep on coming hahahha",There is no such remarkable cons,Content Labelling
944,2021-03-16,Current Employee,5.0,"high salary, food is nice","workload is high, work hour is long",Software Engineer
945,2021-03-17,Current Employee,5.0,"good environment, good facility and nice boss","bad canteen, and thats all",Human Resources Intern
946,2021-03-30,Current Employee,4.0,Very Open Culture and great learning,Nothing to comment for now,Account Manager
947,2021-03-28,"Current Employee, less than 1 year",2.0,"- Good health insurance and pention scheme, - It's easy to be in contact with the management, - WFH expenses, - Company gifts","- The company is not transparent regarding bonus., - If you get promoted you won't have a salary raise straight away., - Managers have more than 20 analysts in charge, and there are no roles such as 'manager assistant' to support on this., - Apart from having a numerous team, managers have to work in other several projects., - Expect to work extra time with no extra pay everyday unless you are a Quality Analyst., - Quality Analyst role is actually a Content moderator role., - The company is growing exponentially and it's slowly feeling like if you're working for a vendor such as CPL, Accenture, Cognizant, etc., - No proper training in tools to work, usually they will ask you to work in something you have no idea how to use, with no training or good explanation on how to., - No life/work balance as you need to be aware if somebody send you a message, even on weekends and while you are on holidays.",Manager/Leader
948,2021-03-15,Former Employee,5.0,"Good management , Good salary and bonuses",Was banned by Indian Government,Script Writer
949,2021-03-15,Former Employee,5.0,The well-paid and dynamic working atmosphere,Getting in touch with the most cutting edge tech,Software Engineer
950,2021-03-10,Current Employee,5.0,"good salary, good treatment, nice circumstance","long working time, 10am-9pm every day",Software Engineer
951,2021-03-27,"Current Employee, more than 1 year",4.0,"Fantastic Organization with employees at first, championing diversity & inclusion",Treading a dynamic path of ups and downs,Talent Acquisition Manager
952,2021-03-28,"Current Employee, less than 1 year",4.0,"tech driven, salary, food, gym etc","pressure, long time of working, competition",Senior ML Engineer
953,2021-03-09,"Current Employee, more than 1 year",5.0,good good good good good,fine fine fine fine fine,Quality Analyst
954,2021-03-26,"Current Employee, less than 1 year",4.0,"The company is no to discrimination, Equipment for work is provided as well",HMO should have dependents as well covered like one or two dependents.,Quality Assurance Analyst
955,2021-03-11,"Former Employee, less than 1 year",5.0,"Salary on time, Gifts, Bonus, Work from home facility, Wifi facility",Delay in providing the resignation certificate or experience letter,Content Moderator
956,2021-03-11,Current Employee,5.0,"great company, great tech, acquired by bytedance","not much cons, very nice company",Software Engineer
957,2021-03-10,"Current Employee, more than 1 year",5.0,"Every day is always Day 1 here, you learn new things, get challenges, and subsequently the joy of solving them. Colleagues are very engaging and welcoming across ByteDance. The teams are also diverse and open.","Working from home, I miss human interaction.",Talent Acquisition
958,2021-03-24,"Former Employee, less than 1 year",4.0,Great learning opportunities & good culture,I see no cons to working,Anonymous Employee
959,2021-03-25,"Current Employee, more than 1 year",4.0,"Good salary, pay very high","High work load, personal life will be affected",Ads Account Manager
960,2021-03-23,Current Employee,4.0,A great company in China,you have to do a lot of things which does not have any meaning,Junior IOS Developer
961,2021-03-08,"Current Employee, less than 1 year",5.0,"Work Culture, Employee Benefits, Employee Wellness, Learning Opportunity, Employee Engagement",No Cons found as of now.,Community Content Management Specialist
962,2021-03-09,"Former Employee, more than 3 years",5.0,"1. Extremely fast paced and driven culture, 2. Payment competitive, 3. Lots of learning",Lot of people were hired towards the end,Manager Monetization
963,2021-03-18,"Current Employee, more than 1 year",4.0,Lots of opportunities for growth,WLB is definitely a problem for folks that need to work with domestic China team. Lots of night meetings might be required.,Product Manager
964,2021-03-06,"Former Employee, more than 1 year",5.0,"The Management, The Teams everyone is so Co-operative",None that I can think of.,Content Operations
965,2021-03-19,Current Employee,4.0,Everything is just more than awesome,Nothing is that needed change,Senior Manager
966,2021-03-04,Former Employee,5.0,really great working environment there in,but it is too busy with a great working load,Researcher
967,2021-03-05,Former Employee,5.0,"friendly atmosphere, take care of employee needs,, celebrate every festivals",there is nothing to share for it,Anonymous Employee
968,2021-03-18,"Current Employee, less than 1 year",4.0,"Good salary, career growth opportunities, friendly and innovative environment",Fast-paced and competitive environment with frequent performance reviews,Community Content Management Specialist
969,2021-03-04,"Current Employee, less than 1 year",5.0,"Culture, People, Leadership, Products, Work Life Balance",Dint find anything. Superbly amazing company to work with,Client Solutions Manager
